dataCrtYmd,stdgCtpvSggCd,stdgEmdCd,roadNmNo,udgdYn,bmno,bsno,mvmnSn,ctpvNm,sggNm,umdNm,roadNm,chgBfrStdgCtpvSggCd,chgBfrStdgEmdCd,chgBfrRoadNmNo,chgBfrUdgdYn,chgBfrBmno,chgBfrBsno,chgBfrCtpvNm,chgBfrSggNm,chgBfrUmdNm,chgBfrRoadNm,chgRsnCd,updtSeCd,chgRsn
20220422,28177,105,4253270,0,13,6,1,인천광역시,미추홀구,주안동,미추홀대로646번길,28177,105,4253270,0,13,0,인천광역시,미추홀구,주안동,미추홀대로646번길,35,C,
20220423,28200,111,3008016,0,643,0,1,인천광역시,남동구,고잔동,능허대로,28200,111,3008016,0,645,0,인천광역시,남동구,고잔동,능허대로,35,C,건물군분할
20220430,28720,360,4274171,0,32,72,1,인천광역시,옹진군,영흥면,영흥로523번길,28720,360,4274171,0,32,70,인천광역시,옹진군,영흥면,영흥로523번길,35,C,
20220502,28260,119,4268718,0,25,9,1,인천광역시,서구,오류동,단봉로128번길,28260,119,4268718,0,25,7,인천광역시,서구,오류동,단봉로128번길,35,C,
20220502,28260,119,4268755,0,4,1,1,인천광역시,서구,오류동,봉화로85번길,28260,119,4268755,0,4,0,인천광역시,서구,오류동,봉화로85번길,35,C,
20220512,28110,150,4247037,0,28,0,1,인천광역시,중구,남북동,남북로84번길,28110,150,4247037,0,30,0,인천광역시,중구,남북동,남북로84번길,35,C,
20220513,28177,105,3008002,0,16,0,1,인천광역시,미추홀구,주안동,구월남로,28177,105,4253563,0,87,0,인천광역시,미추홀구,주안동,인주대로495번길,34,U,아파트 신축으로 인한 도로 폐지
20220527,28245,115,3209151,0,315,94,1,인천광역시,계양구,노오지동,인향로,28245,115,3209151,0,316,94,인천광역시,계양구,노오지동,인향로,33,U,
20220604,28710,320,3157019,0,96,12,1,인천광역시,강화군,불은면,덕진로,28710,320,3157019,0,96,0,인천광역시,강화군,불은면,덕진로,35,C,
20220614,28110,148,4247109,0,37,0,1,인천광역시,중구,운북동,백운로351번길,28110,148,4247109,0,39,0,인천광역시,중구,운북동,백운로351번길,35,C,
20220617,28110,151,4247213,0,3,2,1,인천광역시,중구,덕교동,용유로21번길,28110,151,4247213,0,3,1,인천광역시,중구,덕교동,용유로21번길,35,C,
20220621,28200,111,4259507,0,14,0,1,인천광역시,남동구,고잔동,앵고개로621번길,28200,111,4259507,0,16,0,인천광역시,남동구,고잔동,앵고개로621번길,34,U,
20220621,28200,111,4259507,0,16,0,1,인천광역시,남동구,고잔동,앵고개로621번길,28200,111,4259507,0,20,0,인천광역시,남동구,고잔동,앵고개로621번길,34,U,
20220704,28260,122,4268922,0,24,0,1,인천광역시,서구,청라동,청라한울로67번길,28260,122,4268922,0,22,1,인천광역시,서구,청라동,청라한울로67번길,34,U,
20220707,28710,320,3157019,0,96,14,1,인천광역시,강화군,불은면,덕진로,28710,320,3157019,0,96,0,인천광역시,강화군,불은면,덕진로,35,C,
20220708,28237,102,4262176,0,24,1,1,인천광역시,부평구,십정동,동수북로34번길,28237,102,3149019,0,60,0,인천광역시,부평구,십정동,백운로,34,U,주출입구 변경에 따른 건물번호 변경
20220715,28177,102,4253034,0,170,0,1,인천광역시,미추홀구,용현동,경인남길,28177,102,2008004,0,229,0,인천광역시,미추홀구,용현동,인주대로,35,C,
